idx,phase,emotion,prompt,motion_length,gen_s,recover_s,total_s,mean_speed,max_root_disp,mean_jerk,valid_ratio,joints_npy,features_npy
0,count,happy,a person waves cheerfully with the right hand,196,0.3201,0.0004,0.3204,0.010161,0.239298,0.004292,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/000_happy.npy,
1,count,happy,a person celebrates by raising both arms and twists happily,196,0.2372,0.0002,0.2374,0.013751,0.693406,0.008443,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/001_happy.npy,
2,count,happy,a person twists the torso side to side playfully,132,0.2538,0.0002,0.254,0.012206,0.135628,0.007135,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/002_happy.npy,
3,count,sad,a person bows gently and slowly in a caring way,152,0.2816,0.0002,0.2818,0.005569,0.129162,0.003121,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/003_sad.npy,
4,count,sad,a person bows gently and slowly in a caring way,196,0.2856,0.0003,0.2859,0.004393,0.255143,0.002821,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/004_sad.npy,
5,count,angry,a person stands still calmly with open relaxed arms,84,0.2354,0.0002,0.2356,0.003973,0.103932,0.002911,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/005_angry.npy,
6,count,angry,a person stands still and keeps a calm posture,196,0.2576,0.0003,0.2578,0.001115,0.072049,0.001366,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/006_angry.npy,
7,count,fearful,a person stands still and slowly raises both hands in a reassuring way,164,0.25,0.0003,0.2503,0.004674,0.140915,0.002525,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/007_fearful.npy,
8,count,fearful,a person bows gently and steps slightly back,112,0.2243,0.0002,0.2245,0.006063,0.119655,0.00365,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/008_fearful.npy,
9,count,disgust,a person steps back and waves a hand to refuse,104,0.2118,0.0002,0.212,0.003805,0.102534,0.00267,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/009_disgust.npy,
10,count,surprised,a person raises both hands briefly in surprise then waves,196,0.2536,0.0002,0.2538,0.005189,0.087041,0.003059,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/010_surprised.npy,
11,count,neutral,a person stands still and nods once,196,0.2613,0.0003,0.2615,0.002887,0.063351,0.00302,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/011_neutral.npy,
12,count,neutral,a person walks forward a few steps,88,0.209,0.0002,0.2092,0.036037,2.952779,0.007801,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/012_neutral.npy,
13,count,neutral,a person steps backward carefully,196,0.2558,0.0002,0.256,0.013629,1.99519,0.004817,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/013_neutral.npy,
14,count,neutral,a person turns left in place,196,0.2618,0.0002,0.262,0.007952,0.799112,0.004393,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/014_neutral.npy,
15,count,happy,a person waves goodbye with the right hand,48,0.1827,0.0002,0.1829,0.004372,0.005096,0.003837,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/015_happy.npy,
16,count,neutral,a person performs a squat and stands back up,72,0.1936,0.0002,0.1938,0.015276,0.473824,0.005318,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/016_neutral.npy,
17,count,unknown,a person stands still safely and waits,192,0.248,0.0002,0.2483,0.002519,0.099421,0.002736,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/017_unknown.npy,
18,count,happy,a person waves cheerfully with the right hand,196,0.238,0.0002,0.2382,0.005872,0.262236,0.003591,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/018_happy.npy,
19,count,sad,a person bows gently and slowly in a caring way,192,0.2518,0.0002,0.252,0.006075,0.202659,0.003313,1.0,/Users/emmaliu/Desktop/HKUST/RBM-project/Model/momask-codes/experiment/e2e_spec/momask_from_decision/joints/019_sad.npy,
