片段,该片段出现在哪些情绪,帧序号,时长_ms,舵机1_右脚横滚,舵机2_右踝俯仰,舵机3_右膝,舵机4_右髋俯仰,舵机5_右髋横滚,舵机6_右肩,舵机7_右臂旋转,舵机8_右肘,舵机9_左脚横滚,舵机10_左踝俯仰,舵机11_左膝,舵机12_左髋俯仰,舵机13_左髋横滚,舵机14_左肩,舵机15_左臂旋转,舵机16_左肘,头_x_mm,头_y_mm,头_z_mm,左手_x_mm,左手_y_mm,左手_z_mm,右手_x_mm,右手_y_mm,右手_z_mm,质心_x_mm,质心_y_mm,质心_z_mm,根_x_mm,根_y_mm,偏航_度
stand,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,800,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
stand_slow,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,1400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,1,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,2,350,500,500,480,500,500,500,500,485,500,500,520,500,500,500,500,515,6.0,0.0,373.5,11.1,72.0,198.5,11.1,-72.0,198.5,8.7,0.0,161.5,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,3,400,500,500,500,500,500,600,680,580,500,500,500,500,500,400,320,420,6.0,0.0,373.0,32.0,154.1,234.8,32.0,10.1,234.8,7.3,4.9,162.8,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,4,400,500,530,470,430,500,600,680,580,500,470,530,570,500,400,320,420,6.0,0.0,364.3,32.0,154.1,226.2,32.0,10.1,226.2,29.8,4.9,159.1,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,5,500,500,560,430,360,500,620,680,580,500,440,570,640,500,380,320,420,6.0,0.0,330.5,38.9,154.1,194.6,38.9,10.1,194.6,50.6,4.9,138.5,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,6,500,500,560,430,360,500,620,680,580,500,440,570,640,500,380,320,420,6.0,0.0,330.5,38.9,154.1,194.6,38.9,10.1,194.6,50.6,4.9,138.5,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,7,450,500,530,470,430,500,600,680,580,500,470,530,570,500,400,320,420,6.0,0.0,364.3,32.0,154.1,226.2,32.0,10.1,226.2,29.8,4.9,159.1,0.0,0.0,0.0
bow,neutral/中性/surprised/惊讶/unhappy/不高兴,8,450,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,1,450,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,2,400,500,500,500,500,500,600,680,580,500,500,500,500,500,400,320,420,6.0,0.0,373.0,32.0,154.1,234.8,32.0,10.1,234.8,7.3,4.9,162.8,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,3,500,500,530,470,430,500,600,680,580,500,470,530,570,500,400,320,420,6.0,0.0,364.3,32.0,154.1,226.2,32.0,10.1,226.2,29.8,4.9,159.1,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,4,600,500,580,430,330,500,620,680,580,500,420,570,670,500,380,320,420,6.0,0.0,316.3,38.9,154.1,180.4,38.9,10.1,180.4,56.3,4.9,129.7,0.0,0.0,0.0
jugong,neutral/中性/unhappy/不高兴,5,600,500,580,430,330,500,620,680,580,500,420,570,670,500,380,320,420,6.0,0.0,316.3,38.9,154.1,180.4,38.9,10.1,180.4,56.3,4.9,129.7,0.0,0.0,0.0
