短语编号,适用情绪,意图,力度,片段数,动作序列,峰值所在片段,舵机1_右脚横滚,舵机2_右踝俯仰,舵机3_右膝,舵机4_右髋俯仰,舵机5_右髋横滚,舵机6_右肩,舵机7_右臂旋转,舵机8_右肘,舵机9_左脚横滚,舵机10_左踝俯仰,舵机11_左膝,舵机12_左髋俯仰,舵机13_左髋横滚,舵机14_左肩,舵机15_左臂旋转,舵机16_左肘,头_x_mm,头_y_mm,头_z_mm,左手_x_mm,左手_y_mm,左手_z_mm,右手_x_mm,右手_y_mm,右手_z_mm,质心_x_mm,质心_y_mm,质心_z_mm,根_x_mm,根_y_mm,偏航_度,片段1,片段1_舵机1_右脚横滚,片段1_舵机2_右踝俯仰,片段1_舵机3_右膝,片段1_舵机4_右髋俯仰,片段1_舵机5_右髋横滚,片段1_舵机6_右肩,片段1_舵机7_右臂旋转,片段1_舵机8_右肘,片段1_舵机9_左脚横滚,片段1_舵机10_左踝俯仰,片段1_舵机11_左膝,片段1_舵机12_左髋俯仰,片段1_舵机13_左髋横滚,片段1_舵机14_左肩,片段1_舵机15_左臂旋转,片段1_舵机16_左肘,片段1_头_x_mm,片段1_头_y_mm,片段1_头_z_mm,片段1_左手_x_mm,片段1_左手_y_mm,片段1_左手_z_mm,片段1_右手_x_mm,片段1_右手_y_mm,片段1_右手_z_mm,片段1_质心_x_mm,片段1_质心_y_mm,片段1_质心_z_mm,片段2,片段2_舵机1_右脚横滚,片段2_舵机2_右踝俯仰,片段2_舵机3_右膝,片段2_舵机4_右髋俯仰,片段2_舵机5_右髋横滚,片段2_舵机6_右肩,片段2_舵机7_右臂旋转,片段2_舵机8_右肘,片段2_舵机9_左脚横滚,片段2_舵机10_左踝俯仰,片段2_舵机11_左膝,片段2_舵机12_左髋俯仰,片段2_舵机13_左髋横滚,片段2_舵机14_左肩,片段2_舵机15_左臂旋转,片段2_舵机16_左肘,片段2_头_x_mm,片段2_头_y_mm,片段2_头_z_mm,片段2_左手_x_mm,片段2_左手_y_mm,片段2_左手_z_mm,片段2_右手_x_mm,片段2_右手_y_mm,片段2_右手_z_mm,片段2_质心_x_mm,片段2_质心_y_mm,片段2_质心_z_mm,片段3,片段3_舵机1_右脚横滚,片段3_舵机2_右踝俯仰,片段3_舵机3_右膝,片段3_舵机4_右髋俯仰,片段3_舵机5_右髋横滚,片段3_舵机6_右肩,片段3_舵机7_右臂旋转,片段3_舵机8_右肘,片段3_舵机9_左脚横滚,片段3_舵机10_左踝俯仰,片段3_舵机11_左膝,片段3_舵机12_左髋俯仰,片段3_舵机13_左髋横滚,片段3_舵机14_左肩,片段3_舵机15_左臂旋转,片段3_舵机16_左肘,片段3_头_x_mm,片段3_头_y_mm,片段3_头_z_mm,片段3_左手_x_mm,片段3_左手_y_mm,片段3_左手_z_mm,片段3_右手_x_mm,片段3_右手_y_mm,片段3_右手_z_mm,片段3_质心_x_mm,片段3_质心_y_mm,片段3_质心_z_mm
greet_wave_step,happy/高兴/neutral/中性,greeting/打招呼,mid,2,wave > stepping,wave,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,0.0,0.0,0.0,wave,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,stepping,500,500,522,518,500,500,500,500,500,530,590,455,500,500,500,500,14.0,0.0,373.5,16.0,72.0,198.5,16.0,-72.0,198.5,9.7,0.0,162.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_right_twist,happy/高兴/neutral/中性,greeting/打招呼,mid,2,right_hand > twist,right_hand,500,500,500,500,500,660,620,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,83.2,-14.2,246.1,8.1,1.7,162.1,0.0,0.0,0.0,right_hand,500,500,500,500,500,660,620,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,83.2,-14.2,246.1,8.1,1.7,162.1,twist,530,500,500,500,420,560,500,500,470,500,500,500,580,440,500,500,6.0,0.0,363.6,37.8,72.0,192.3,37.8,-72.0,192.3,7.7,-21.7,154.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_left_sidestep,happy/高兴/neutral/中性,greeting/打招呼,mid,2,left_hand > left_move_10,left_hand,500,500,500,500,500,500,500,500,500,500,500,500,500,340,380,580,6.0,0.0,373.0,83.2,129.8,246.1,8.0,-72.0,198.0,8.1,1.7,162.1,0.0,0.0,0.0,left_hand,500,500,500,500,500,500,500,500,500,500,500,500,500,340,380,580,6.0,0.0,373.0,83.2,129.8,246.1,8.0,-72.0,198.0,8.1,1.7,162.1,left_move_10,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,5.0,372.0,8.0,77.0,197.0,8.0,-67.0,197.0,5.9,-2.1,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_handup_turnr,happy/高兴/neutral/中性,greeting/打招呼,mid,2,go_hand_up > turn_right_small_step,go_hand_up,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,0.0,0.0,0.0,go_hand_up,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,turn_right_small_step,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,5.9,-0.8,373.8,17.3,70.3,198.8,-1.5,-72.4,198.8,3.3,-0.4,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_handup1_hold,happy/高兴/neutral/中性,greeting/打招呼,low,2,go_hand_up1 > stand_slow,go_hand_up1,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,0.0,0.0,0.0,go_hand_up1,500,500,500,500,500,820,740,350,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,70.0,29.3,319.7,9.6,6.1,167.9,stand_slow,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_lift_sider,happy/高兴/neutral/中性,greeting/打招呼,mid,2,lift_left_hand > right_move_10,lift_left_hand,500,500,500,500,500,500,500,500,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,8.0,-72.0,198.0,7.7,3.0,164.3,0.0,0.0,0.0,lift_left_hand,500,500,500,500,500,500,500,500,500,500,500,500,500,180,260,650,6.0,0.0,373.0,70.0,173.3,319.7,8.0,-72.0,198.0,7.7,3.0,164.3,right_move_10,481,500,500,500,527,500,500,500,518,500,500,500,472,500,500,500,6.0,-5.0,372.0,8.0,67.0,197.0,8.0,-77.0,197.0,5.9,2.1,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_chest_turnl,happy/高兴,greeting/打招呼,high,2,chest > turn_left_small_step,chest,500,500,500,500,500,680,620,280,500,500,500,500,500,320,380,720,6.0,0.0,373.0,96.0,129.8,276.7,96.0,-14.2,276.7,11.1,3.5,165.3,0.0,0.0,0.0,chest,500,500,500,500,500,680,620,280,500,500,500,500,500,320,380,720,6.0,0.0,373.0,96.0,129.8,276.7,96.0,-14.2,276.7,11.1,3.5,165.3,turn_left_small_step,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,5.9,0.8,373.8,-1.5,72.4,198.8,17.3,-70.3,198.8,3.3,0.4,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_twist_fwd,happy/高兴/surprised/惊讶,greeting/打招呼,mid,2,twist > go_forward_one_small_step,twist,530,500,500,500,420,560,500,500,470,500,500,500,580,440,500,500,6.0,0.0,363.6,37.8,72.0,192.3,37.8,-72.0,192.3,7.7,-21.7,154.9,0.0,0.0,0.0,twist,530,500,500,500,420,560,500,500,470,500,500,500,580,440,500,500,6.0,0.0,363.6,37.8,72.0,192.3,37.8,-72.0,192.3,7.7,-21.7,154.9,go_forward_one_small_step,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,18.5,0.0,373.6,20.5,72.0,198.6,20.5,-72.0,198.6,14.7,0.0,162.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_step_righthand,happy/高兴/neutral/中性,greeting/打招呼,mid,2,stepping > right_hand,right_hand,500,500,500,500,500,660,620,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,83.2,-14.2,246.1,8.1,1.7,162.1,0.0,0.0,0.0,stepping,500,500,522,518,500,500,500,500,500,530,590,455,500,500,500,500,14.0,0.0,373.5,16.0,72.0,198.5,16.0,-72.0,198.5,9.7,0.0,162.5,right_hand,500,500,500,500,500,660,620,420,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,83.2,-14.2,246.1,8.1,1.7,162.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greet_sidel_wave,happy/高兴/neutral/中性,greeting/打招呼,mid,2,left_move_10 > wave,wave,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,0.0,0.0,0.0,left_move_10,518,500,500,500,472,500,500,500,481,500,500,500,527,500,500,500,6.0,5.0,372.0,8.0,77.0,197.0,8.0,-67.0,197.0,5.9,-2.1,160.0,wave,500,500,500,500,500,820,740,220,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,62.7,29.3,332.0,7.5,3.0,164.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
